sep=;

"storeNumber";"storeName";"planId";"date";"schedule";"itemNumber";"itemDescription";"modifiedQty";"productionArea";"v1_forecast";"v2_forecast";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"273001";"null";"null";"273";"0";"n/a";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"273002";"null";"null";"273";"0";"n/a";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"273003";"null";"null";"273";"0";"n/a";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"273004";"null";"null";"273";"0";"n/a";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"273005";"null";"null";"273";"0";"n/a";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"273006";"null";"null";"273";"0";"n/a";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"273007";"null";"null";"273";"0";"n/a";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"273008";"null";"null";"273";"0";"n/a";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"273009";"null";"null";"273";"0";"n/a";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104721494";"null";"null";"273";"2";"n/a";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104721523";"null";"null";"273";"0";"n/a";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104721582";"null";"null";"273";"3";"n/a";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104721603";"null";"null";"273";"0";"n/a";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104721654";"null";"null";"273";"0";"n/a";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104721689";"null";"null";"273";"0";"n/a";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104721718";"null";"null";"273";"5";"n/a";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104721742";"null";"null";"273";"3";"n/a";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104726439";"null";"null";"273";"1";"n/a";
