Store,Production Area,Plan ID,Production Date,SKU Number,Description,Forecast Qty,Modified Qty,Modified By,Sales,Throwaways,Production Totals,
171,273,851141,10/17/2021,104735837,MIN: M French Stick Short Bread Cheese (L),0,,,,,,
171,273,851141,10/17/2021,104735976,MIN: Garlic Tear & Share Bread,2,,,,,,
171,273,851141,10/17/2021,104736151,MIN: M Large White Baguette 400g,5,,,7,,,
171,273,851141,10/17/2021,104736776,MIN: Cheese & Tomato Bread to Share,0,,,1,,,
171,273,851141,10/17/2021,104736792,MIN: Garlic & Herb Bread to Share,0,,,1,,,
171,273,851141,10/17/2021,104736813,MIN: Red Pepper/Mozzarella Piazza,0,,,,,,
171,273,851141,10/17/2021,104737891,MIN: Sandwich Baguette White 4PK,0,,,,,,
171,273,851141,10/17/2021,104738245,MIN: Organic White Loaf 400g,0,,,,,,
171,273,851141,10/17/2021,104738325,MIN: Chocolate Twist 2 Pack,3,,,1,,,
171,273,851141,10/17/2021,104740100,MORRISONS THE BEST STONEBAKED BROWN SOURDOUGH BLOO,0,,,1,,,
171,273,851141,10/17/2021,104740134,MIN:  Levain Sourdough 600g Sliced,0,,,,,,
171,273,851141,10/17/2021,104740564,MIN: MORRISONS THE BEST STONEBAKED MULTIGRAIN BREA,3,,,,,,
171,273,851141,10/17/2021,104745832,MIN: Iced Ring Doughnuts 4pk,0,,,,,,
171,273,851141,10/17/2021,105775591,MIN: Pain au Raisin 2pk,0,,,1,,,
171,273,851141,10/17/2021,106308118,MIN: MORRISONS BLACK PEPPER AND SEA SALT TIGER SHO,0,,,,,,
171,273,851141,10/17/2021,106452814,MIN: MORRISONS THE BEST STONEBAKED PUMPERNICKEL BR,0,,,,,,
171,273,851141,10/17/2021,106500054,MIN: MORRISONS SLICED PUMPERNICKEL BREAD 400G,0,,,,,,
171,273,851141,10/17/2021,107168209,MIN: MORRISONS BUTTER CROISSANTS 4PK,2,,,2,,,
171,273,851141,10/17/2021,107391540,MIN: MORRISONS LARGE CHEESE STRAWS 3 PACK,0,,,,,,
171,273,851141,10/17/2021,107391566,MIN: MORRISONS KALAMATA OLIVE CIABATTA,1,,,2,,,
171,273,851141,10/17/2021,107391591,MIN: MORRISONS HAND STRETCHED CIABATTA,1,,,,,,
171,273,851141,10/17/2021,108153130,MIN: MORRISONS MINI CHOCOLATE & RASPBERRY RING DOU,0,,,,,,
171,273,851141,10/17/2021,108153181,MIN: MORRISONS THE BEST STONEBAKED HONEY & SUNFLOW,2,,,,,,
171,273,851141,10/17/2021,108153201,MIN: MORRISONS SLICED SUNFLOWER & HONEY BOULE 400G,0,,,,,,
171,273,851141,10/17/2021,108154212,MIN: MORRISONS STONEBAKED CIABATTA 2PK,5,,,10,,,
171,273,851141,10/17/2021,108221606,MIN: MORRISONS CHOCOLATE TWIST,0,,,,,,
171,273,851141,10/17/2021,109706912,MIN: MORRISONS PAIN AU CHOCOLAT 2PK,1,,,1,,,
171,273,851141,10/17/2021,109706998,MIN: MORRISONS THE BEST SOURDOUGH BOULE 400G,1,,,2,,,
171,273,851141,10/17/2021,109707018,MIN: MORRISONS SLICED SOURDOUGH BOULE 400G,0,,,,,,
171,273,851141,10/17/2021,109875871,MIN: MORRISONS LARGE CROISSANT (FOOD TO GO),2,,,,,,
171,273,851141,10/17/2021,110114834,MIN: MORRISONS PANINI 2PK,0,,,6,,,
171,273,851141,10/17/2021,110114973,MIN: MORRISONS RASPBERRY RING DOUGHNUTS 4PK,0,,,,,,
171,273,851141,10/17/2021,110249860,MIN: MORRISONS 2 CHOCOLATE CROISSANTS,0,,,,,,
171,273,851141,10/17/2021,110270191,MIN: MORRISONS ALMOND CROISSANTS 2PK,2,,,1,,,
171,273,851141,10/17/2021,110295719,MIN: MORRISONS PICK & MIX ROLLS 6PK,4,,,11,,,
171,273,851141,10/17/2021,110342950,MIN: MORRISONS THE BEST STONE BAKED BAGUETTE 400G,1,,,,,,
171,273,851141,10/17/2021,110547411,MIN: MORRISONS THE BEST SOURDOUGH BREAD,2,,,,,,
171,273,851141,10/17/2021,110547437,MIN: MORRISONS THE BEST SLICED SOURDOUGH BREAD,0,,,,,,
171,273,851141,10/17/2021,110547461,MIN: MORRISONS THE BEST SEEDED SOURDOUGH BREAD,1,,,1,,,
171,273,851141,10/17/2021,110547496,MIN: MORRISONS THE BEST SLICED SEEDED SOURDOUGH BR,0,,,,,,
171,273,851141,10/17/2021,110740608,MIN: MORRISONS 4 CHOCOLATE & CARAMEL FILLED ICED D,2,,,,,,
171,273,851141,10/17/2021,110998781,MIN: MORRISONS CIABATTAS 2 PACK,4,,,,,,
171,273,851141,10/17/2021,111050220,MIN: CHEESE & RED ONION FOCACCIA,0,,,1,,,
171,273,851141,10/17/2021,111167276,MIN: MORRISONS SNACK CIABATTAS 4 PACK,2,,,1,,,
171,273,851141,10/17/2021,111200136,MIN: MORRISONS PIZZA TWIST 2 PACK,0,,,,,,
171,273,851141,10/17/2021,111813776,MIN: MORRISONS THE BEST 4 BRIOCHE ROLLS,2,,,,,,
171,390,851170,10/17/2021,103264421,MIN: Sausage Sandwich,2,,,,,,
171,390,851170,10/17/2021,103267824,MIN: Bacon Sandwich,2,,,,,,
171,390,851170,10/17/2021,104317301,MIN: 'M' Extra Tasty British Chicken,4,,,,,,
171,390,851170,10/17/2021,104317379,MIN: 'M' Roast British Chicken,2,,,,,,
171,390,851170,10/17/2021,104978599,JUMBO PORK SAUSAGE,4,,,,,,
171,390,851170,10/17/2021,105018426,MIN: 'M' Extra Tasty British Chicken VAT FREE,12,,,,,,
171,390,851170,10/17/2021,105018451,MIN: 'M' Roast British Chicken VAT FREE,3,,,,,,
171,390,851170,10/17/2021,108812617,M Oven Fresh Bacon,6,,,,,,
171,390,851170,10/17/2021,110280816,EXTRA TASTY WHOLE CHICKEN,16,,,,,,
171,390,851170,10/17/2021,110281069,PLAIN WHOLE CHICKEN 1.25-1.4KG,5,,,,,,

171,273,851215,10/18/2021,273001,White Bread Mix 16kg (Full Mix),0,,,,,,
171,273,851215,10/18/2021,273002,White Soft Mix 16kg (Full Mix),0,,,,,,
171,273,851215,10/18/2021,273003,Wheat Spelt & Rye Mix 5kg,0,,,,,,
171,273,851215,10/18/2021,273004,Wholemeal Bread Mix 8kg (Half Mix),0,,,,,,
171,273,851215,10/18/2021,273005,Granary Bread Mix 8kg (Half Mix),0,,,,,,
171,273,851215,10/18/2021,273006,Granary Soft Mix 8kg (Half Mix),0,,,,,,
171,273,851215,10/18/2021,273007,Wholemeal Soft Mix 8kg (Half Mix),0,,,,,,
171,273,851215,10/18/2021,273008,Fruited Dough Mix 8kg (Half Mix),0,,,,,,
171,273,851215,10/18/2021,273009,Doughnut Dough Mix 16kg (Full Mix),0,,,,,,
171,273,851215,10/18/2021,104721494,MIN: White Split Tin 800g,0,,,2,,,
171,273,851215,10/18/2021,104721523,MIN: White Split Tin 800g Sliced,0,,,,,,
171,273,851215,10/18/2021,104721582,MIN: 'M' White Split Tin 400g,0,,,3,,,
171,273,851215,10/18/2021,104721603,MIN:  'M' White Split Tin 400g Sliced,0,,,,,,
171,273,851215,10/18/2021,104721654,MIN: Bloomer/White Bread 800g,0,,,5,,,
171,273,851215,10/18/2021,104721689,MIN: Bloomer/White Bread 800g sliced,0,,,,,,
171,273,851215,10/18/2021,104721718,MIN: Bloomer/White Bread 400g,0,,,6,,,
171,273,851215,10/18/2021,104721742,MIN: Bloomer/White Bread 400g sliced,0,,,,,,
171,273,851215,10/18/2021,104726439,MIN: M Wholemeal Bread 800g (L),0,,,2,,,
171,273,851215,10/18/2021,104726455,MIN: M Wholemeal Bread Sliced 800g (L),0,,,,,,
171,273,851215,10/18/2021,104726471,MIN: M Wholemeal Bread 400g (L),0,,,1,,,
171,273,851215,10/18/2021,104726674,MIN: M Tiger Bread 400g (L),0,,,2,,,
171,273,851215,10/18/2021,104726720,MIN: M Tiger Bread 800g (L),0,,,5,,,
171,273,851215,10/18/2021,104727773,MIN: M Multigrain Bread Sliced 450g,0,,,,,,
171,273,851215,10/18/2021,104727811,MIN: M Wholemeal Bread Sliced 400g (L),1,,,,,,
171,273,851215,10/18/2021,104728872,MIN: M Granary Loaf/ Malted Brown 800g,0,,,,,,
171,273,851215,10/18/2021,104728995,MIN: M Granary Loaf/ Malted Brown Sliced 800g,0,,,,,,
171,273,851215,10/18/2021,104729058,MIN: M The Best  Walnut Sunflower Bread 450g,1,,,,,,
171,273,851215,10/18/2021,104729066,MIN: M Granary Loaf/ Malted Brown 400g,0,,,1,,,
171,273,851215,10/18/2021,104729091,MIN: M The Best  Walnut Sunflower Bread  Sliced 45,0,,,,,,
171,273,851215,10/18/2021,104729138,MIN: M Granary Loaf/ Matled Brown Sliced 400g,1,,,,,,
171,273,851215,10/18/2021,104729171,MIN: MORRISONS THE BEST STONEBAKED CRANBERRY PUMPK,1,,,,,,
171,273,851215,10/18/2021,104729197,MIN: M Cranberry Pumpkin Seed Sliced 450g,0,,,,,,
171,273,851215,10/18/2021,104729251,MIN: MORRISONS THE BEST STONEBAKED DATE AND WALNUT,1,,,,,,
171,273,851215,10/18/2021,104729285,MIN: M date and walnut bread sliced 400g (L),0,,,,,,
171,273,851215,10/18/2021,104729390,MORRISONS THE BEST STONEBAKED SOURDOUGH BLOOMER 40,7,,,4,,,
171,273,851215,10/18/2021,104735722,MIN: MORRISONS WHITE BAGUETTE,9,,,11,,,
171,273,851215,10/18/2021,104735773,MIN: M Tiger Stick (L),3,,,,,,
171,273,851215,10/18/2021,104735837,MIN: M French Stick Short Bread Cheese (L),0,,,,,,
171,273,851215,10/18/2021,104735976,MIN: Garlic Tear & Share Bread,0,,,,,,
171,273,851215,10/18/2021,104736151,MIN: M Large White Baguette 400g,6,,,8,,,
171,273,851215,10/18/2021,104736776,MIN: Cheese & Tomato Bread to Share,0,,,,,,
171,273,851215,10/18/2021,104736792,MIN: Garlic & Herb Bread to Share,0,,,,,,
171,273,851215,10/18/2021,104736813,MIN: Red Pepper/Mozzarella Piazza,0,,,,,,
171,273,851215,10/18/2021,104737891,MIN: Sandwich Baguette White 4PK,0,,,1,,,
171,273,851215,10/18/2021,104737939,MIN: M Large White Baps 6pk,0,,,32,,,
171,273,851215,10/18/2021,104738026,MIN: Farmhouse/White Bread 800g,1,,,4,,,
171,273,851215,10/18/2021,104738042,MIN: M Burger Sesame Bun 4 pack,0,,,6,,,
171,273,851215,10/18/2021,104738069,MORRISONS WHITE FARMHOUSE 400G,0,,,3,,,
171,273,851215,10/18/2021,104738131,MIN: M Large Tiger Baps 6 Pack,0,,,16,,,
171,273,851215,10/18/2021,104738245,MIN: Organic White Loaf 400g,0,,,,,,
171,273,851215,10/18/2021,104738296,MORRISONS COBURG COB 400G,0,,,3,,,
171,273,851215,10/18/2021,104738317,MIN: Wheat Spelt & Rye Bread 400g,0,,,10,,,
171,273,851215,10/18/2021,104738325,MIN: Chocolate Twist 2 Pack,1,,,1,,,
171,273,851215,10/18/2021,104739424,MIN: MORRISONS THE BEST FRUIT SCONES 4 PACK,14,,,10,,,
171,273,851215,10/18/2021,104739619,MIN: SCOTTISH CRUMPETS 6 PACK,15,,,8,,,
171,273,851215,10/18/2021,104739643,MIN: PLAIN PANCAKES 6PK,24,,,10,,,
171,273,851215,10/18/2021,104740100,MORRISONS THE BEST STONEBAKED BROWN SOURDOUGH BLOO,0,,,1,,,
171,273,851215,10/18/2021,104740134,MIN:  Levain Sourdough 600g Sliced,0,,,,,,
171,273,851215,10/18/2021,104740564,MIN: MORRISONS THE BEST STONEBAKED MULTIGRAIN BREA,2,,,,,,
171,273,851215,10/18/2021,104742025,MIN: M Finger Rolls White 6 pack (L),0,,,29,,,
171,273,851215,10/18/2021,104742480,MIN: M Sub Rolls White Bread 4 pack (L),0,,,2,,,
171,273,851215,10/18/2021,104742501,MIN: M Large Baps Cheese/Onion 4pk (L),0,,,3,,,
171,273,851215,10/18/2021,104742869,MIN: M Large Granary Baps 6 pack (L),0,,,2,,,
171,273,851215,10/18/2021,104744178,MIN: M Large Baps/ Wholemeal 6 pack,0,,,5,,,
171,273,851215,10/18/2021,104744573,MIN: M Crusty Rolls 6 pack,1,,,4,,,
171,273,851215,10/18/2021,104744830,MIN: Potato Scones 6 Pack,28,,,72,,,
171,273,851215,10/18/2021,104745445,MIN: Doughnuts/Raspberry Jam 2pk,1,,,,,,
171,273,851215,10/18/2021,104745461,MIN: Doughnuts/Sugar Ring 6pk,0,,,3,,,
171,273,851215,10/18/2021,104745576,MIN: Doughnuts/Raspberry 5pk,0,,,5,,,
171,273,851215,10/18/2021,104745613,MIN: Doughnuts/Custard 5pk,5,,,6,,,
171,273,851215,10/18/2021,104745630,MIN: Doughnuts/Strawberry 5pk,0,,,16,,,
171,273,851215,10/18/2021,104745832,MIN: Iced Ring Doughnuts 4pk,0,,,,,,
171,273,851215,10/18/2021,104745891,MIN: SCOTCH MORNING ROLLS 6PK,54,,,72,,,
171,273,851215,10/18/2021,104745912,MIN: WELL FIRED SCOTCH ROLLS 6PK,16,,,21,,,
171,273,851215,10/18/2021,104746034,MORRISONS GRANARY COB 400G,2,,,4,,,
171,273,851215,10/18/2021,104750682,MIN: Large White Baps 2Pk,0,,,6,,,
171,273,851215,10/18/2021,104750789,MIN: Crusty Rolls 2 Pack,0,,,2,,,
171,273,851215,10/18/2021,104788592,MIN: Large White Baps 18pk,0,,,,,,
171,273,851215,10/18/2021,104814981,MIN: Wheat Spelt & Rye Tin Loaf 800g,1,,,1,,,
171,273,851215,10/18/2021,105697941,MIN: Glazed Ring Doughnuts 4pk,4,,,4,,,
171,273,851215,10/18/2021,105735290,MIN: Tiger Loaf Sliced 800g,0,,,1,,,
171,273,851215,10/18/2021,105735361,MIN: Tiger Loaf Sliced 400g,0,,,2,,,
171,273,851215,10/18/2021,105775591,MIN: Pain au Raisin 2pk,0,,,1,,,
171,273,851215,10/18/2021,106308118,MIN: MORRISONS BLACK PEPPER AND SEA SALT TIGER SHO,0,,,,,,
171,273,851215,10/18/2021,106308441,MIN: MORRISONS BLACK PEPPER AND SEA SALT BLOOMER 4,0,,,11,,,
171,273,851215,10/18/2021,106337541,MORRISONS SEA SALT & PEPPER BLOOMER 800G,1,,,8,,,
171,273,851215,10/18/2021,106361445,MIN: MORRISONS FARMHOUSE SLICED LOAF 400G,0,,,,,,
171,273,851215,10/18/2021,106361488,MIN: MORRISONS FARMHOUSE SLICED LOAF 800G,0,,,,,,
171,273,851215,10/18/2021,106452814,MIN: MORRISONS THE BEST STONEBAKED PUMPERNICKEL BR,0,,,,,,
171,273,851215,10/18/2021,106500054,MIN: MORRISONS SLICED PUMPERNICKEL BREAD 400G,0,,,,,,
171,273,851215,10/18/2021,107168209,MIN: MORRISONS BUTTER CROISSANTS 4PK,7,,,,,,
171,273,851215,10/18/2021,107391401,MIN: MORRISONS GOLDEN SUNFLOWER AND PUMPKINSEED BO,2,,,,,,
171,273,851215,10/18/2021,107391540,MIN: MORRISONS LARGE CHEESE STRAWS 3 PACK,0,,,,,,
171,273,851215,10/18/2021,107391566,MIN: MORRISONS KALAMATA OLIVE CIABATTA,2,,,,,,
171,273,851215,10/18/2021,107391591,MIN: MORRISONS HAND STRETCHED CIABATTA,1,,,,,,
171,273,851215,10/18/2021,107391726,MORRISONS LARGE SALT & PEPPER BAPS 6PK,0,,,12,,,
171,273,851215,10/18/2021,107391742,MIN: MORRISONS FRUITED TEACAKES 4 PACK,0,,,,,,
171,273,851215,10/18/2021,108128065,MIN: MORRISONS FRUITED SCONES BAKE OFF 4PK,0,,,4,,,
171,273,851215,10/18/2021,108128081,MIN: MORRISONS PLAIN SCONES BAKE OFF 4PK,0,,,2,,,
171,273,851215,10/18/2021,108128129,MIN: MORRISONS CHEESE SCONES BAKE OFF 4PK,1,,,3,,,
171,273,851215,10/18/2021,108143898,MIN: MORRISONS MEDIUM WHITE ROLLS 4PK,0,,,,,,
171,273,851215,10/18/2021,108153130,MIN: MORRISONS MINI CHOCOLATE & RASPBERRY RING DOU,0,,,,,,
171,273,851215,10/18/2021,108153181,MIN: MORRISONS THE BEST STONEBAKED HONEY & SUNFLOW,2,,,1,,,
171,273,851215,10/18/2021,108153201,MIN: MORRISONS SLICED SUNFLOWER & HONEY BOULE 400G,0,,,,,,
171,273,851215,10/18/2021,108154212,MIN: MORRISONS STONEBAKED CIABATTA 2PK,4,,,3,,,
171,273,851215,10/18/2021,108221606,MIN: MORRISONS CHOCOLATE TWIST,0,,,,,,
171,273,851215,10/18/2021,108812650,MIN: MORRISONS MARKET ST PANCAKES 4PK,7,,,,,,
171,273,851215,10/18/2021,108812721,MIN: MORRISONS MARKET ST FRUIT PANCAKES 4PK,2,,,,,,
171,273,851215,10/18/2021,108812801,MIN: MORRISONS MARKET ST CHOCOLATE CHIP PANCAKES 4,3,,,,,,
171,273,851215,10/18/2021,109321342,MIN: MORRISONS SLICED SEA SALT & PEPPER BLOOMER 40,3,,,2,,,
171,273,851215,10/18/2021,109323321,MIN: MORRISONS SLICED SEA SALT & PEPPER BLOOMER 80,1,,,1,,,
171,273,851215,10/18/2021,109706912,MIN: MORRISONS PAIN AU CHOCOLAT 2PK,1,,,1,,,
171,273,851215,10/18/2021,109706998,MIN: MORRISONS THE BEST SOURDOUGH BOULE 400G,1,,,1,,,
171,273,851215,10/18/2021,109707018,MIN: MORRISONS SLICED SOURDOUGH BOULE 400G,0,,,,,,
171,273,851215,10/18/2021,109847791,MIN: MORRISONS SLICED SUNFLOWER & PUMPKIN BREAD 40,0,,,,,,
171,273,851215,10/18/2021,109847838,"MIN: MORRISONS SLICED WHEAT, SPELT & RYE BREAD 400",0,,,,,,
171,273,851215,10/18/2021,109847854,MIN: MORRISONS SLICED COBURG COB 400G,0,,,,,,
171,273,851215,10/18/2021,109848064,"MIN: MORRISONS SLICED WHEAT, SPELT & RYE BREAD 800",0,,,,,,
171,273,851215,10/18/2021,109875871,MIN: MORRISONS LARGE CROISSANT (FOOD TO GO),6,,,,,,
171,273,851215,10/18/2021,109925429,MIN: MORRISONS TIGER COB 400G,1,,,5,,,
171,273,851215,10/18/2021,109964891,MIN: MORRISONS SLICED TIGER COB 400G,0,,,,,,
171,273,851215,10/18/2021,110114834,MIN: MORRISONS PANINI 2PK,0,,,,,,
171,273,851215,10/18/2021,110114973,MIN: MORRISONS RASPBERRY RING DOUGHNUTS 4PK,0,,,,,,
171,273,851215,10/18/2021,110249860,MIN: MORRISONS 2 CHOCOLATE CROISSANTS,0,,,,,,
171,273,851215,10/18/2021,110249931,MIN: MORRISONS TIGER BAGUETTE 200G (BAKE OFF),5,,,,,,
171,273,851215,10/18/2021,110270191,MIN: MORRISONS ALMOND CROISSANTS 2PK,1,,,1,,,
171,273,851215,10/18/2021,110295719,MIN: MORRISONS PICK & MIX ROLLS 6PK,7,,,4,,,
171,273,851215,10/18/2021,110342950,MIN: MORRISONS THE BEST STONE BAKED BAGUETTE 400G,2,,,,,,
171,273,851215,10/18/2021,110547411,MIN: MORRISONS THE BEST SOURDOUGH BREAD,2,,,,,,
171,273,851215,10/18/2021,110547437,MIN: MORRISONS THE BEST SLICED SOURDOUGH BREAD,0,,,,,,
171,273,851215,10/18/2021,110547461,MIN: MORRISONS THE BEST SEEDED SOURDOUGH BREAD,1,,,,,,
171,273,851215,10/18/2021,110547496,MIN: MORRISONS THE BEST SLICED SEEDED SOURDOUGH BR,0,,,,,,
171,273,851215,10/18/2021,110740608,MIN: MORRISONS 4 CHOCOLATE & CARAMEL FILLED ICED D,0,,,,,,
171,273,851215,10/18/2021,110986069,MIN: MORRISONS MEDIUM GRANARY BAPS 4PK,0,,,6,,,
171,273,851215,10/18/2021,110986085,MIN: MORRISONS MEDIUM WHITE BAPS 4PK,0,,,22,,,
171,273,851215,10/18/2021,110998781,MIN: MORRISONS CIABATTAS 2 PACK,4,,,1,,,
171,273,851215,10/18/2021,111013630,MIN: MORRISONS 6 MEDIUM CHEESE BAPS,0,,,3,,,
171,273,851215,10/18/2021,111040030,MIN: MORRISONS 24 MEDIUM WHITE BAPS,0,,,,,,
171,273,851215,10/18/2021,111050220,MIN: CHEESE & RED ONION FOCACCIA,0,,,,,,
171,273,851215,10/18/2021,111167276,MIN: MORRISONS SNACK CIABATTAS 4 PACK,2,,,1,,,
171,273,851215,10/18/2021,111182206,MIN: MORRISONS 8 LARGE WHITE FINGER ROLLS,2,,,2,,,
171,273,851215,10/18/2021,111200136,MIN: MORRISONS PIZZA TWIST 2 PACK,0,,,,,,
171,273,851215,10/18/2021,111718550,MIN: MORRISONS THE BEST SLICED SOURDOUGH BLOOMER 4,0,,,,,,
171,273,851215,10/18/2021,111809697,MIN: MORRISONS CHOCOLATE ORANGE DOUGHNUTS 5 PACK,9,,,,,,
171,273,851215,10/18/2021,111813776,MIN: MORRISONS THE BEST 4 BRIOCHE ROLLS,1,,,1,,,
171,273,851215,10/18/2021,111821080,MIN: MORRISONS CHEESE & JALAPENO BREAD 400G,5,,,2,,,
171,273,851215,10/18/2021,111856080,MIN: MORRISONS CHEESE & JALAPENO BAPS 4 PACK,3,,,1,,,
171,273,851215,10/18/2021,111889931,MIN: MORRISONS LOADED BROWNIE DOUGHNUTS 3 PACK,2,,,,,,
171,273,851215,10/18/2021,111889957,MIN: MORRISONS SWEET AS CANDY DOUGHNUTS 3 PACK,5,,,,,,
171,273,851215,10/18/2021,111889990,MIN: MORRISONS WHEN LIFE GIVES YOU LEMONS DOUGHNUT,2,,,,,,
171,273,851215,10/18/2021,111892161,MIN: MORRISONS THE BEST GRAND MANGE PAIN BREAD 800,1,,,2,,,
171,273,851215,10/18/2021,111922155,MIN: MORRISONS BBQ ROLLS 24PK,2,,,,,,
171,392,851461,10/18/2021,104341803,(B) M Chunky Steak Pie,4,,,,,,
171,392,851461,10/18/2021,104343471,(B) M Steak Slice,8,,,,,,
171,392,851461,10/18/2021,105901681,(B) Family Apple Pie,14,,,,,,
171,392,851461,10/18/2021,107701114,(B) BELLS MACARONI PIE,4,,,,,,
171,392,851461,10/18/2021,107701165,MIN: BELLS MACARONI PIE 2'S,2,,,,,,
171,392,851461,10/18/2021,108799563,(B) MORRISONS FAMILY MORELLO CHERRY PIE 540G,3,,,,,,
171,392,851461,10/18/2021,108799643,MIN: MORRISONS FAMILY MORELLO CHERRY PIE 540G,3,,,,,,
171,392,851461,10/18/2021,108799731,(B) MORRISONS FAMILY RHUBARB PIE 540G,4,,,,,,
171,392,851461,10/18/2021,108799791,MIN: MORRISONS FAMILY RHUBARB PIE 540G,4,,,,,,
171,392,851461,10/18/2021,108800552,(B) MORRISONS CHEESE & ONION ROLL,11,,,,,,
171,392,851461,10/18/2021,108800641,MIN: MORRISONS CHEESE & ONION ROLL 4PK,2,,,,,,
171,392,851461,10/18/2021,108800704,MIN: MORRISONS CHEESE & ONION ROLL HOT,3,,,,,,
171,392,851461,10/18/2021,108801037,(B) MORRISONS CHEESE & ONION SLICE,4,,,,,,
171,392,851461,10/18/2021,108801125,MIN: MORRISONS CHEESE & ONION SLICE 2PK,2,,,,,,
171,392,851461,10/18/2021,108810689,(B) MORRISONS PORK SAUSAGE ROLL,16,,,,,,
171,392,851461,10/18/2021,108810785,MIN: MORRISONS PORK SAUSAGE ROLLS 4PK,3,,,,,,
171,392,851461,10/18/2021,108810857,MIN: MORRISONS HOT PORK SAUSAGE ROLL,4,,,,,,
171,392,851461,10/18/2021,108810929,(B) MORRISONS SNACK PORK SAUSAGE ROLL,2,,,,,,
171,392,851461,10/18/2021,108810953,MIN: MORRISONS SNACK PORK SAUSAGE ROLL,2,,,,,,
171,392,851461,10/18/2021,108810996,(B) MORRISONS LINCOLNSHIRE SAUSAGE ROLL,8,,,,,,
171,392,851461,10/18/2021,108811041,MIN: MORRISONS LINCOLNSHIRE SAUSAGE ROLLS 4PK,2,,,,,,
171,392,851461,10/18/2021,108831914,MIN: MORRISONS CHUNKY STEAK PIES 2PK,2,,,,,,
171,392,851461,10/18/2021,108836512,MIN: MORRISONS STEAK SLICES 2PK,2,,,,,,
171,392,851461,10/18/2021,108836539,MIN: MORRISONS STEAK SLICE HOT,4,,,,,,
171,392,851461,10/18/2021,108836601,MIN: MORRISONS JUMBO BEEF PASTIES 2PK,2,,,,,,
171,392,851461,10/18/2021,108836731,MIN: MORRISONS FAMILY BRAMLEY APPLE PIE,14,,,,,,
171,392,851461,10/18/2021,108837179,(B) MORRISONS BACON & CHEESE TURNOVER,0,,,,,,
171,392,851461,10/18/2021,108838649,MIN: MORRISONS APPLE PIE 2PK,3,,,,,,
171,392,851461,10/18/2021,108865719,(B) MORRISONS JUMBO MINCED BEEF PASTY 280G,4,,,,,,
171,392,851461,10/18/2021,109383447,(B) MORRISONS HOG ROAST SAUSAGE ROLL,8,,,,,,
171,392,851461,10/18/2021,109383498,MIN: MORRISONS HOG ROAST SAUSAGE ROLL 4PK,2,,,,,,
171,392,851461,10/18/2021,109540342,(B) BELLS SCOTCH PIES,4,,,,,,
171,392,851461,10/18/2021,109540385,MIN: BELLS SCOTCH PIES 2PK,2,,,,,,
171,392,851461,10/18/2021,109540431,(B) BELLS STEAK & GRAVY PIES,4,,,,,,
171,392,851461,10/18/2021,109540473,MIN: BELLS STEAK & GRAVY PIES 2PK,2,,,,,,
171,392,851461,10/18/2021,109540529,(B) BELLS CHICKEN CURRY PIES,4,,,,,,
171,392,851461,10/18/2021,109540561,MIN: BELLS CHICKEN CURRY PIES 2PK,2,,,,,,
171,392,851461,10/18/2021,109781091,MIN: MORRISONS CHEESE & BACON TURNOVER (HOT),0,,,,,,
171,392,851461,10/18/2021,109838093,MIN: MORRISONS THE BEST 2 STEAK & ALE PASTIES,2,,,,,,
171,392,851461,10/18/2021,109838245,MIN: MORRISONS THE BEST 2 CORNISH PASTIES,2,,,,,,
171,392,851461,10/18/2021,109838384,MIN: MORRISONS THE BEST 2 CHEESE & ONION PASTIES,2,,,,,,
171,392,851461,10/18/2021,110189465,(B) MORRISONS THE BEST CORNISH PASTY 287G,4,,,,,,
171,392,851461,10/18/2021,110189490,(B) M BEST STEAK &ALE PASTY 291G,4,,,,,,
171,392,851461,10/18/2021,110189529,"(B) MORRISONS THE BEST CHEESE, ONION & CHIVES PASTY 291G",4,,,,,,
171,392,851461,10/18/2021,110227311,MIN: MORRISONS 2 CHICKEN & GRAVY PIES,1,,,,,,
171,392,851461,10/18/2021,110237666,(B) M CHICKEN & GRAVY PIE,2,,,,,,
171,392,851461,10/18/2021,110243628,MIN: MORRISONS 2 STEAK & KIDNEY PIES,2,,,,,,
171,392,851461,10/18/2021,110249131,(B) M STEAK & KIDNEY PIE,4,,,,,,
171,392,851461,10/18/2021,110586663,(B) M Individual Bramley Apple Pie,6,,,,,,
171,392,851461,10/18/2021,110737994,(B) MORRISONS SAVOURY VEGAN ROLL 128G,4,,,,,,
171,392,851461,10/18/2021,110738057,MIN: MORRISONS SAVOURY VEGAN ROLLS 2PK,2,,,,,,
171,392,851461,10/18/2021,110747754,(B) MORRISONS VEGAN PASTY 283G,2,,,,,,
171,392,851461,10/18/2021,110747800,MIN: MORRISONS VEGAN PASTIES 2PK,1,,,,,,
171,392,851461,10/18/2021,110847886,(B) MORRISONS BREAKFAST SLICE,4,,,,,,
171,392,851461,10/18/2021,110941215,MIN: MORRISONS 2 BREAKFAST SLICES,2,,,,,,
171,392,851461,10/18/2021,111922278,MIN: MORRISONS 2 CHICKEN BAKE,0,,,,,,
171,265,848700,10/18/2021,105658095,MIN: MORRISONS CINNAMON SWIRL 2PK,0,,,1,,,
171,265,848700,10/18/2021,105658175,MIN: MORRISONS PECAN PLAIT 2PK,0,,,2,,,
171,265,848700,10/18/2021,105658239,MIN: MORRISONS APPLE & CUSTARD LATTICE 2PK,0,,,3,,,
